dura mater of posterior root of left second lumbar nerve,RID28212.Anatomy
dura mater of posterior root of first thoracic nerve,RID28170.Anatomy
dura mater of posterior root of fifth thoracic nerve,RID28182.Anatomy
dura mater of posterior root of eighth thoracic nerve,RID28191.Anatomy
dura mater of posterior root of twelfth thoracic nerve,RID28203.Anatomy
dura mater of posterior root of eleventh thoracic nerve,RID28200.Anatomy
dura mater of posterior root of fourth thoracic nerve,RID28179.Anatomy
dura mater of posterior root of third thoracic nerve,RID28176.Anatomy
dura mater of posterior root of seventh thoracic nerve,RID28188.Anatomy
dura mater of posterior root of sixth thoracic nerve,RID28185.Anatomy
dura mater of posterior root of tenth thoracic nerve,RID28197.Anatomy
dura mater of posterior root of ninth thoracic nerve,RID28194.Anatomy
dura mater of posterior root of second thoracic nerve,RID28173.Anatomy
dura mater of posterior root of right first thoracic nerve,RID28171.Anatomy
dura mater of posterior root of left first thoracic nerve,RID28172.Anatomy
dura mater of posterior root of right fifth thoracic nerve,RID28183.Anatomy
dura mater of posterior root of left fifth thoracic nerve,RID28184.Anatomy
dura mater of posterior root of right eighth thoracic nerve,RID28192.Anatomy
dura mater of posterior root of left eighth thoracic nerve,RID28193.Anatomy
dura mater of posterior root of right twelfth thoracic nerve,RID28204.Anatomy
dura mater of posterior root of left twelfth thoracic nerve,RID28205.Anatomy
dura mater of posterior root of left eleventh thoracic nerve,RID28202.Anatomy
dura mater of posterior root of right eleventh thoracic nerve,RID28201.Anatomy
dura mater of posterior root of left fourth thoracic nerve,RID28181.Anatomy
dura mater of posterior root of right fourth thoracic nerve,RID28180.Anatomy
dura mater of posterior root of left third thoracic nerve,RID28178.Anatomy
dura mater of posterior root of right third thoracic nerve,RID28177.Anatomy
dura mater of posterior root of left seventh thoracic nerve,RID28190.Anatomy
dura mater of posterior root of right seventh thoracic nerve,RID28189.Anatomy
dura mater of posterior root of left sixth thoracic nerve,RID28187.Anatomy
dura mater of posterior root of right sixth thoracic nerve,RID28186.Anatomy
dura mater of posterior root of right tenth thoracic nerve,RID28198.Anatomy
dura mater of posterior root of left tenth thoracic nerve,RID28199.Anatomy
dura mater of posterior root of left ninth thoracic nerve,RID28196.Anatomy
dura mater of posterior root of right ninth thoracic nerve,RID28195.Anatomy
dura mater of posterior root of right second thoracic nerve,RID28174.Anatomy
dura mater of posterior root of left second thoracic nerve,RID28175.Anatomy
dura mater of posterior root of third sacral nerve,RID28229.Anatomy
dura mater of posterior root of second sacral nerve,RID28226.Anatomy
dura mater of posterior root of fifth sacral nerve,RID28235.Anatomy
dura mater of posterior root of first sacral nerve,RID28223.Anatomy
dura mater of posterior root of fourth sacral nerve,RID28232.Anatomy
dura mater of posterior root of left third sacral nerve,RID28231.Anatomy
dura mater of posterior root of right third sacral nerve,RID28230.Anatomy
dura mater of posterior root of left second sacral nerve,RID28228.Anatomy
dura mater of posterior root of right second sacral nerve,RID28227.Anatomy
dura mater of posterior root of left fifth sacral nerve,RID28237.Anatomy
dura mater of posterior root of right fifth sacral nerve,RID28236.Anatomy
dura mater of posterior root of right first sacral nerve,RID28224.Anatomy
dura mater of posterior root of left first sacral nerve,RID28225.Anatomy
dura mater of posterior root of right fourth sacral nerve,RID28233.Anatomy
dura mater of posterior root ofleft fourth sacral nerve,RID28234.Anatomy
dura mater of posterior root of sixth cervical nerve,RID28160.Anatomy
dura mater of posterior root of second cervical nerve,RID28148.Anatomy
dura mater of posterior root of first cervical nerve,RID28145.Anatomy
dura mater of posterior root of fifth cervical nerve,RID28157.Anatomy
dura mater of posterior root of fourth cervical nerve,RID28154.Anatomy
dura mater of posterior root of eighth cervical nerve,RID28166.Anatomy
dura mater of posterior root of seventh cervical nerve,RID28163.Anatomy
dura mater of posterior root of third cervical nerve,RID28151.Anatomy
dura mater of posterior root of right sixth cervical nerve,RID28161.Anatomy
dura mater of posterior root of left sixth cervical nerve,RID28162.Anatomy
dura mater of posterior root of right second cervical nerve,RID28149.Anatomy
